entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2025-07-23,2025-08-01,put_credit,2025-08-08,16,18,0.33,1.0,0.33,0.7489,4.88,67.29,0.47025000000000006,time_exit,-328.05,1206.0
2025-07-29,2025-08-01,call_credit,2025-08-29,31,8,0.52,2.0,0.26,0.7892,9.53,66.71,0.24000000000000005,profit_target,190.4,1184.0
2025-07-29,2025-08-01,call_credit,2025-09-05,38,15,0.22,1.0,0.22,0.8642,5.0,66.71,0.22000000000000003,trail,-63.0,1170.0
2025-08-01,2025-08-05,call_credit,2025-09-12,42,20,0.42,1.0,0.42,0.8557,23.6,64.22,0.19199999999999995,profit_target,372.0,1160.0
2025-08-01,2025-08-05,call_credit,2025-09-12,42,16,0.27,1.0,0.27,0.924,15.6,64.22,0.08000000000000002,profit_target,236.8,1168.0
2025-08-04,2025-08-05,call_credit,2025-09-05,32,16,0.26,1.0,0.26,0.8633,8.89,65.2,0.09999999999999998,profit_target,188.8,1184.0
2025-08-06,2025-08-08,call_credit,2025-09-19,44,16,0.27,1.0,0.27,0.8057,4.19,65.51,0.274,trail,-73.6,1168.0
2025-07-28,2025-08-12,put_credit,2025-08-29,32,8,0.62,2.0,0.31,0.7114,4.19,67.1,0.26,profit_target,254.4,1104.0
2025-08-05,2025-08-13,call_credit,2025-09-12,38,8,0.49,2.0,0.245,0.7877,6.34,64.55,0.9812500000000006,stop_loss,-426.6,1208.0
2025-08-05,2025-08-13,call_credit,2025-09-05,31,7,0.45,2.0,0.225,0.8072,6.69,64.55,0.9289999999999998,stop_loss,-364.7,1085.0
2025-08-08,2025-08-13,call_credit,2025-09-12,35,7,0.44,2.0,0.22,0.8004,4.47,66.13,1.044,stop_loss,-452.2,1092.0
2025-08-14,2025-08-18,put_credit,2025-09-05,22,16,0.25,1.0,0.25,0.8232,4.4,67.03,0.20000000000000007,trail,12.8,1200.0
2025-08-13,2025-08-21,iron_condor,2025-09-26,44,10,0.88,2.0,0.44,0.5991,14.22,69.84,1.560481974286827,stop_loss,-764.48,1120.0
2025-08-12,2025-08-25,put_credit,2025-09-05,24,18,0.32,1.0,0.32,0.7466,3.67,67.95,0.6501250000000001,stop_loss,-669.83,1224.0
2025-08-20,2025-08-25,call_credit,2025-09-05,16,17,0.32,1.0,0.32,0.7646,5.47,64.9,0.08000000000000002,profit_target,336.6,1156.0
2025-08-13,2025-08-26,iron_condor,2025-09-26,44,8,1.09,2.5,0.436,0.6916,37.45,69.84,1.9232172893957185,stop_loss,-733.77,1128.0
2025-09-17,2025-09-18,call_credit,2025-10-03,16,17,0.3,1.0,0.3,0.8281,9.64,65.67,0.14,profit_target,200.6,1190.0
2025-09-17,2025-09-24,iron_condor,2025-10-10,23,22,0.46,1.0,0.46,0.6566,3.57,65.67,0.21,profit_target,365.2,1188.0
2025-09-24,2025-09-26,call_credit,2025-10-24,30,16,0.26,1.0,0.26,0.8187,4.71,64.42,0.12000000000000005,profit_target,156.8,1184.0
2025-09-23,2025-10-02,call_credit,2025-10-31,38,7,0.44,2.0,0.22,0.8052,5.24,63.41,1.0342499999999997,stop_loss,-445.37,1092.0
2025-09-25,2025-10-02,call_credit,2025-11-07,43,16,0.26,1.0,0.26,0.8736,9.79,62.1,0.6892499999999999,stop_loss,-754.0,1184.0
2025-09-22,2025-10-03,iron_condor,2025-10-24,32,10,0.89,2.0,0.445,0.5737,11.62,63.65,0.7990000000000004,trail,7.0,1110.0
2025-09-26,2025-10-06,call_credit,2025-11-07,42,19,0.37,1.0,0.37,0.8249,15.74,61.94,0.8487500000000008,stop_loss,-989.43,1197.0
2025-10-02,2025-10-06,put_credit,2025-11-14,43,16,0.26,1.0,0.26,0.8301,5.65,68.77,0.11162500000000009,profit_target,170.2,1184.0
2025-10-02,2025-10-10,put_credit,2025-11-14,43,10,0.84,2.0,0.42,0.7082,22.84,68.77,0.9052500000000001,trail,-107.25,1160.0
2025-10-06,2025-10-10,put_credit,2025-11-07,32,16,0.26,1.0,0.26,0.8052,3.33,71.29,0.46374999999999966,trail,-393.2,1184.0
2025-10-06,2025-10-10,put_credit,2025-11-14,39,6,0.63,2.5,0.252,0.7738,8.4,71.29,1.2876205438074502,stop_loss,-419.77,1122.0
